group,sub,symbol,amt_1d,chg_1d,amt_5d,chg_5d,amt_20d,chg_20d,amt_60d,chg_60d,amt_1y,chg_1y,amt_ytd,ytd
電子–電子零組件,電子上游-PCB-材料設備,建榮,4.6,1.31,25.89756,-1.57,105.60474,0,306.09541,36.78,558.36076,95.79,25.89756,-1.57
電子–電子零組件,電子上游-ABF,欣興,39.5,-1.1,412.58823,3.41,1072.50711,0.66,3636.66414,48.21,9616.27921,64.51,412.58823,3.41
電子–電腦及週邊設備,電子中游-NB與手機零組件,奇鋐,82.5,1.48,470.40128,-10.26,1369.06603,-3.9,5383.53756,16.81,15807.88392,164.9,470.40128,-10.26
玻璃陶瓷,傳產-玻璃陶瓷,台玻,16,-0.57,120.38278,1.88,608.22679,-11.78,2251.19459,15.22,4383.38435,133.11,120.38278,1.88
電子–電子零組件,電子上游-PCB-製造,金像電,52.8,0.79,305.3389,-8.01,1055.8647,6.04,3867.67293,48.53,9255.70989,217.64,305.3389,-8.01
電器電纜,傳產-電線電纜,華新,54.2,-2.22,331.51095,20.44,730.42891,24.76,1918.82114,23.95,3454.42348,78.8,331.51095,20.44
電機機械,傳產-電機,恩德,0.06,4.52,7.27834,-11.58,69.63465,40.47,84.49384,38.16,263.12755,56.48,7.27834,-11.58
電子–其他電子,電子中游-儀器設備工程,聖暉*,12.5,-2.67,146.512,0.64,464.08495,6.22,1089.27738,-5.42,2438.56683,105.47,146.512,0.64
電子–光電,電子中游-LCD-零組件,中光電,16.1,-0.8,29.43006,2.21,135.59195,-4.46,772.42537,-24.55,3493.98042,13.36,29.43006,2.21
電子–半導體,電子上游-IP/ASIC,力旺,12.5,-1.2,84.55018,-3.76,272.58457,-16.54,1139.81851,-16.33,4136.70042,-44.18,84.55018,-3.76
電子–光電,電子中游-LCD-TFT面板,友達,65.6,-6.71,404.50122,27.76,530.37133,38.5,819.54496,15.5,1648.54553,19.83,404.50122,27.76
電子–電子零組件,電子上游-PCB-製造,華通,117,10,356.48857,12.78,1187.12297,24.26,1882.14975,19.18,3859.86673,63.42,356.48857,12.78
電子–電腦及週邊設備,電子下游-筆記型電腦,廣達,132,3.48,327.12256,0.37,1104.8384,-7.77,3062.43011,-7.3,13463.68261,5.74,327.12256,0.37
電子–半導體,電子上游-IP/ASIC,創意,53.4,-3.67,432.44406,15.29,1266.22361,15.84,4614.66837,63.33,9063.25052,110.71,432.44406,15.29
